State, Date, Year, Program(s) Selected, SO2 (tons), CO2 (short tons), NOx (tons), Heat Input (MMBtu),
"CT","2015-06-01","2015","RGGI","0.199","15961.224","4.224","268687.684",
"CT","2015-06-02","2015","RGGI","0.206","17146.841","4.431","288647.62",
"CT","2015-06-03","2015","RGGI","0.102","11838.876","1.531","199179.517",
"CT","2015-06-04","2015","RGGI","0.051","10044.586","0.82","169031.042",
"CT","2015-06-05","2015","RGGI","0.079","15749.636","1.096","265022.966",
"CT","2015-06-06","2015","RGGI","0.076","15143.176","1.053","254817.942",
"CT","2015-06-07","2015","RGGI","0.067","13628.88","1.157","229332.756",
"CT","2015-06-08","2015","RGGI","0.078","15876.562","1.417","267142.685",
"CT","2015-06-09","2015","RGGI","0.095","18690.387","1.558","314346.732",
"CT","2015-06-10","2015","RGGI","0.142","20300.677","2.259","341641.075",
"CT","2015-06-11","2015","RGGI","0.267","25427.496","6.579","427937.762",
"CT","2015-06-12","2015","RGGI","0.265","27052.342","7.449","454674.903",
"CT","2015-06-13","2015","RGGI","0.181","23366.945","3.43","393277.125",
"CT","2015-06-14","2015","RGGI","0.147","18752.099","2.537","315603.213",
"CT","2015-06-15","2015","RGGI","0.157","19936.62","2.617","335545.218",
"CT","2015-06-16","2015","RGGI","0.13","19056.673","1.832","320711.218",
"CT","2015-06-17","2015","RGGI","0.138","20001.518","1.677","336618.107",
"CT","2015-06-18","2015","RGGI","0.093","18787.441","1.175","315900.694",
"CT","2015-06-19","2015","RGGI","0.11","21818.959","1.448","365736.033",
"CT","2015-06-20","2015","RGGI","0.069","13684.389","0.674","230273.05",
"CT","2015-06-21","2015","RGGI","0.072","13941.379","0.73","234597.001",
"CT","2015-06-22","2015","RGGI","0.155","20764.003","3.001","349439.307",
"CT","2015-06-23","2015","RGGI","0.554","23679.134","2.579","397565.295",
"CT","2015-06-24","2015","RGGI","0.139","22335.956","1.656","375769.502",
"CT","2015-06-25","2015","RGGI","0.351","25512.6","8.737","427896.123",
"CT","2015-06-26","2015","RGGI","0.245","19123.318","8.26","321218.526",
"CT","2015-06-27","2015","RGGI","0.088","17427.7","1.24","293266.449",
"CT","2015-06-28","2015","RGGI","0.078","15539.5","1.084","261489.971",
"CT","2015-06-29","2015","RGGI","0.094","18392.816","1.422","309493.876",
"CT","2015-06-30","2015","RGGI","0.155","21647.997","2.485","364329.463",
"DE","2015-06-01","2015","RGGI","11.821","11448.844","4.443","154835.184",
"DE","2015-06-02","2015","RGGI","0.171","6672.627","2.492","112222.9",
"DE","2015-06-03","2015","RGGI","0.008","3938.397","2.31","66270.508",
"DE","2015-06-04","2015","RGGI","0.026","8171.94","3.114","137504.344",
"DE","2015-06-05","2015","RGGI","0.026","7607.407","2.713","128011.601",
"DE","2015-06-06","2015","RGGI","0.023","6138.283","2.156","103291.23",
"DE","2015-06-07","2015","RGGI","0.023","7357.464","2.82","123800.706",
"DE","2015-06-08","2015","RGGI","0.026","8322.388","2.24","139802.226",
"DE","2015-06-09","2015","RGGI","0.027","8115.91","2.572","136395.883",
"DE","2015-06-10","2015","RGGI","0.725","8826.63","3.319","147120.169",
"DE","2015-06-11","2015","RGGI","13.924","18196.464","9.205","264871.217",
"DE","2015-06-12","2015","RGGI","4.197","19659.904","8.281","281406.896",
"DE","2015-06-13","2015","RGGI","0.868","8935.631","3.517","149788.56",
"DE","2015-06-14","2015","RGGI","0.043","10715.154","3.947","180465.681",
"DE","2015-06-15","2015","RGGI","0.042","10646.476","3.55","179308.487",
"DE","2015-06-16","2015","RGGI","0.039","10238.729","3.844","170738.103",
"DE","2015-06-17","2015","RGGI","0.029","7916.153","2.893","133217.413",
"DE","2015-06-18","2015","RGGI","0.022","5612.51","1.345","94433.006",
"DE","2015-06-19","2015","RGGI","0.063","7679.894","2.571","129039.938",
"DE","2015-06-20","2015","RGGI","0.754","3825.28","0.499","63283.689",
"DE","2015-06-21","2015","RGGI","13.804","9463.613","3.793","121064.927",
"DE","2015-06-22","2015","RGGI","3.545","16671.242","6.451","234077.366",
"DE","2015-06-23","2015","RGGI","10.75","19127.275","10.483","270218.941",
"DE","2015-06-24","2015","RGGI","3.21","12761.644","4.558","180315.13",
"DE","2015-06-25","2015","RGGI","0.363","8098.567","2.963","136169.19",
"DE","2015-06-26","2015","RGGI","0.197","7652.09","3.259","127908.314",
"DE","2015-06-27","2015","RGGI","0.018","6817.749","2.755","114729.677",
"DE","2015-06-28","2015","RGGI","0.017","5800.299","2.491","97597.827",
"DE","2015-06-29","2015","RGGI","0.017","5985.951","2.522","100597.595",
"DE","2015-06-30","2015","RGGI","0.019","6129.222","2.119","103129.118",
"MA","2015-06-01","2015","RGGI","0.135","26324.652","5.383","442965.001",
"MA","2015-06-02","2015","RGGI","0.13","25600.033","5.207","430767.111",
"MA","2015-06-03","2015","RGGI","0.126","24611.99","4.292","414010.167",
"MA","2015-06-04","2015","RGGI","0.131","26292.61","5.771","441129.355",
"MA","2015-06-05","2015","RGGI","0.145","29060.181","5.895","487685.881",
"MA","2015-06-06","2015","RGGI","0.123","24398.772","5.998","410436.336",
"MA","2015-06-07","2015","RGGI","0.106","20948.491","5.601","352476.735",
"MA","2015-06-08","2015","RGGI","0.133","26298.206","5.61","442510.903",
"MA","2015-06-09","2015","RGGI","0.149","29375.854","5.677","494174.008",
"MA","2015-06-10","2015","RGGI","0.148","29842.484","5.465","502151.718",
"MA","2015-06-11","2015","RGGI","0.175","34968.772","5.78","588408.12",
"MA","2015-06-12","2015","RGGI","0.827","35158.92","6.531","590746.911",
"MA","2015-06-13","2015","RGGI","0.138","27375.074","5.423","460640.174",
"MA","2015-06-14","2015","RGGI","0.127","24721.854","5.255","415980.768",
"MA","2015-06-15","2015","RGGI","0.219","27805.721","6.015","467726.521",
"MA","2015-06-16","2015","RGGI","0.844","37085.871","7.631","622768.635",
"MA","2015-06-17","2015","RGGI","0.36","35030.059","7.587","589075.817",
"MA","2015-06-18","2015","RGGI","3.401","36009.638","8.727","599706.117",
"MA","2015-06-19","2015","RGGI","0.191","37640.31","7.481","633381.022",
"MA","2015-06-20","2015","RGGI","0.146","28734.053","5.361","483503.753",
"MA","2015-06-21","2015","RGGI","0.149","29969.259","5.628","504036.552",
"MA","2015-06-22","2015","RGGI","0.194","41358.431","11.706","696067.109",
"MA","2015-06-23","2015","RGGI","0.214","39604.806","9.791","666261.285",
"MA","2015-06-24","2015","RGGI","0.185","35914.039","6.397","604305.747",
"MA","2015-06-25","2015","RGGI","0.167","33664.673","6.034","566477.691",
"MA","2015-06-26","2015","RGGI","0.162","32432.471","6.843","545750.231",
"MA","2015-06-27","2015","RGGI","0.11","22145.559","4.05","372640.812",
"MA","2015-06-28","2015","RGGI","0.107","21097.107","3.82","355001.831",
"MA","2015-06-29","2015","RGGI","0.127","25264.85","4.708","425132.233",
"MA","2015-06-30","2015","RGGI","0.178","29515.405","5.827","496597.962",
"MD","2015-06-01","2015","RGGI","91.191","68885.654","31.027","704543.353",
"MD","2015-06-02","2015","RGGI","73.995","56930.496","14.825","556973.494",
"MD","2015-06-03","2015","RGGI","58.422","44056.07","13.438","431034.08",
"MD","2015-06-04","2015","RGGI","69.317","56773.299","20.082","555605.096",
"MD","2015-06-05","2015","RGGI","68.681","47247.895","32.473","467760.967",
"MD","2015-06-06","2015","RGGI","70.051","52289.28","28.744","519785.995",
"MD","2015-06-07","2015","RGGI","89.318","63550.26","32.813","629805.065",
"MD","2015-06-08","2015","RGGI","78.719","70921.312","32.897","741123.761",
"MD","2015-06-09","2015","RGGI","87.203","79831.296","35.841","834535.83",
"MD","2015-06-10","2015","RGGI","95.961","76583.138","39.783","787867.026",
"MD","2015-06-11","2015","RGGI","112.655","96436.367","56.314","1059442.654",
"MD","2015-06-12","2015","RGGI","101.211","92601.283","53.491","1030067.402",
"MD","2015-06-13","2015","RGGI","52.3","74492.774","30.694","775363.962",
"MD","2015-06-14","2015","RGGI","87.439","78815.425","33.206","799201.718",
"MD","2015-06-15","2015","RGGI","102.074","86991.931","42.526","901414.703",
"MD","2015-06-16","2015","RGGI","124.368","107002.189","60.178","1171957.072",
"MD","2015-06-17","2015","RGGI","92.718","83659.004","37.234","892599.152",
"MD","2015-06-18","2015","RGGI","99.397","88931.675","45.713","953154.147",
"MD","2015-06-19","2015","RGGI","78.839","82133.647","37.61","883775.226",
"MD","2015-06-20","2015","RGGI","70.718","67308.476","25.111","679233.954",
"MD","2015-06-21","2015","RGGI","69.249","74773.891","30.656","803638.29",
"MD","2015-06-22","2015","RGGI","93.812","95356.894","52.881","1056858.206",
"MD","2015-06-23","2015","RGGI","107.95","94246.915","61.677","1055440.762",
"MD","2015-06-24","2015","RGGI","72.923","67753.356","37.674","680451.715",
"MD","2015-06-25","2015","RGGI","49.266","49465.308","17.126","504907.226",
"MD","2015-06-26","2015","RGGI","14.612","36410.87","11.436","377470.521",
"MD","2015-06-27","2015","RGGI","12.859","32469.906","10.46","319347.136",
"MD","2015-06-28","2015","RGGI","14.869","31996.055","9.99","296073.8",
"MD","2015-06-29","2015","RGGI","48.773","42960.98","14.052","415394.03",
"MD","2015-06-30","2015","RGGI","70.381","53652.042","20.836","541086.441",
"ME","2015-06-01","2015","RGGI","0.004","702","0.09","11808",
"ME","2015-06-02","2015","RGGI","0.013","2533.42","0.515","42629.091",
"ME","2015-06-03","2015","RGGI","0.018","3632.997","1.177","61135.939",
"ME","2015-06-04","2015","RGGI","0.005","868.1","0.106","14608.52",
"ME","2015-06-05","2015","RGGI","0.755","910.559","0.198","14375.31",
"ME","2015-06-06","2015","RGGI","0.004","719.1","0.068","12103.2",
"ME","2015-06-07","2015","RGGI","0.003","688","0.064","11577.3",
"ME","2015-06-08","2015","RGGI","0.003","680.1","0.063","11443.7",
"ME","2015-06-09","2015","RGGI","0.017","3365.674","0.526","56632.897",
"ME","2015-06-10","2015","RGGI","0.028","5465.557","1.065","91977.387",
"ME","2015-06-11","2015","RGGI","0.039","7585.48","1.444","127653.263",
"ME","2015-06-12","2015","RGGI","0.036","7002.501","1.321","117840.95",
"ME","2015-06-13","2015","RGGI","0.003","607.1","0.069","10216.3",
"ME","2015-06-14","2015","RGGI","0.003","607.8","0.066","10228.3",
"ME","2015-06-15","2015","RGGI","0.003","634","0.069","10671.3",
"ME","2015-06-16","2015","RGGI","0.003","572.03","0.066","9625.614",
"ME","2015-06-17","2015","RGGI","0.003","683.553","0.091","11502.521",
"ME","2015-06-18","2015","RGGI","0.003","644.372","0.081","10841.616",
"ME","2015-06-19","2015","RGGI","0.004","714.9","0.091","12028.5",
"ME","2015-06-20","2015","RGGI","0.004","869.2","0.11","14625.7",
"ME","2015-06-21","2015","RGGI","0.004","830.5","0.104","13971",
"ME","2015-06-22","2015","RGGI","0.029","5759.963","1.643","96950.263",
"ME","2015-06-23","2015","RGGI","0.033","6488.641","1.251","109266.224",
"ME","2015-06-24","2015","RGGI","0.02","3988.232","0.523","67103.216",
"ME","2015-06-25","2015","RGGI","0.005","1042.424","0.139","17546.441",
"ME","2015-06-26","2015","RGGI","0.004","707.7","0.092","11906.6",
"ME","2015-06-27","2015","RGGI","0.003","645.6","0.081","10864.5",
"ME","2015-06-28","2015","RGGI","0.003","640.3","0.081","10772.3",
"ME","2015-06-29","2015","RGGI","0.003","652","0.082","10969.3",
"ME","2015-06-30","2015","RGGI","0.108","668.998","0.101","11129.994",
"NH","2015-06-01","2015","RGGI","0.044","9612.637","1.434","149960.207",
"NH","2015-06-02","2015","RGGI","0.034","7464.4","0.932","113654.3",
"NH","2015-06-03","2015","RGGI","0.03","6882","0.889","103888.2",
"NH","2015-06-04","2015","RGGI","0.067","9551.665","3.018","145689.28",
"NH","2015-06-05","2015","RGGI","0.362","6823.776","6.988","91763.841",
"NH","2015-06-06","2015","RGGI","0.194","5572.56","3.944","75917.3",
"NH","2015-06-07","2015","RGGI","0.023","5408.146","0.847","79129.615",
"NH","2015-06-08","2015","RGGI","0.043","9518.754","1.566","148459.904",
"NH","2015-06-09","2015","RGGI","0.046","9912.184","1.333","155226.991",
"NH","2015-06-10","2015","RGGI","0.167","9159.377","4.482","136115.315",
"NH","2015-06-11","2015","RGGI","0.042","9256.524","1.217","144139.632",
"NH","2015-06-12","2015","RGGI","0.047","10225.39","1.243","160398.72",
"NH","2015-06-13","2015","RGGI","0.052","11027.146","1.214","174060.09",
"NH","2015-06-14","2015","RGGI","0.047","9979.045","1.266","156208.752",
"NH","2015-06-15","2015","RGGI","0.047","10317.178","1.286","161816.146",
"NH","2015-06-16","2015","RGGI","0.045","9860.392","1.223","154157.586",
"NH","2015-06-17","2015","RGGI","0.044","9648.018","1.198","150542.802",
"NH","2015-06-18","2015","RGGI","0.036","7771.5","0.959","119014.3",
"NH","2015-06-19","2015","RGGI","0.048","10506.394","1.329","165114.658",
"NH","2015-06-20","2015","RGGI","0.022","5209.01","0.899","75839.27",
"NH","2015-06-21","2015","RGGI","1.7","8302.322","1.558","124856.97",
"NH","2015-06-22","2015","RGGI","2.191","12205.436","2.156","189807.285",
"NH","2015-06-23","2015","RGGI","1.852","11162.47","1.859","172727.4",
"NH","2015-06-24","2015","RGGI","1.342","11118.902","1.688","172960.373",
"NH","2015-06-25","2015","RGGI","0.049","10602.249","1.305","166719.355",
"NH","2015-06-26","2015","RGGI","0.052","11100.586","1.334","175031.982",
"NH","2015-06-27","2015","RGGI","0.034","7513.1","0.925","114544",
"NH","2015-06-28","2015","RGGI","0.027","6206.2","0.855","92522.7",
"NH","2015-06-29","2015","RGGI","0.045","9702.913","1.3","151546.982",
"NH","2015-06-30","2015","RGGI","0.048","10302.917","1.24","161718.103",
"NY","2015-06-01","2015","RGGI","6.823","77678.413","22.2","1261861.404",
"NY","2015-06-02","2015","RGGI","6.522","76879.099","21.665","1250788.495",
"NY","2015-06-03","2015","RGGI","6.005","70435.235","21.857","1145216.81",
"NY","2015-06-04","2015","RGGI","0.393","71629.372","22.032","1183970.378",
"NY","2015-06-05","2015","RGGI","0.503","72539.168","21.838","1195211.118",
"NY","2015-06-06","2015","RGGI","0.453","62219.078","18.169","1022422.494",
"NY","2015-06-07","2015","RGGI","0.583","58178.266","16.835","956034.678",
"NY","2015-06-08","2015","RGGI","8.235","84296.362","27.152","1363666.866",
"NY","2015-06-09","2015","RGGI","9.225","98375.882","33.119","1600723.229",
"NY","2015-06-10","2015","RGGI","8.148","95472.917","32.627","1558409.774",
"NY","2015-06-11","2015","RGGI","9.061","111197.381","45.739","1824780.146",
"NY","2015-06-12","2015","RGGI","9.919","113123.919","45.531","1846907.72",
"NY","2015-06-13","2015","RGGI","6.362","82135.301","27.795","1340813.208",
"NY","2015-06-14","2015","RGGI","10.575","92835.778","40.424","1514865.595",
"NY","2015-06-15","2015","RGGI","33.267","108486.256","46.191","1741654.6",
"NY","2015-06-16","2015","RGGI","13.402","114483.497","45.31","1859259.091",
"NY","2015-06-17","2015","RGGI","8.474","94262.888","29.722","1532202.653",
"NY","2015-06-18","2015","RGGI","10.932","81981.736","23.846","1316725.453",
"NY","2015-06-19","2015","RGGI","6.414","82652.291","23.188","1365078.614",
"NY","2015-06-20","2015","RGGI","2.998","62333.608","13.7","1028991.531",
"NY","2015-06-21","2015","RGGI","2.987","80984.65","21.789","1342622.805",
"NY","2015-06-22","2015","RGGI","6.754","114941.992","43.93","1893839.836",
"NY","2015-06-23","2015","RGGI","11.087","126334.874","52.653","2074263.874",
"NY","2015-06-24","2015","RGGI","15.869","102561.21","34.503","1659134.309",
"NY","2015-06-25","2015","RGGI","14.023","93108.105","28.64","1503293.839",
"NY","2015-06-26","2015","RGGI","4.213","86348.072","24.683","1416216.516",
"NY","2015-06-27","2015","RGGI","2.668","62446.763","17.437","1016903.796",
"NY","2015-06-28","2015","RGGI","2.805","61958.693","17.151","1010000.928",
"NY","2015-06-29","2015","RGGI","4.004","78391.161","23.04","1280393.346",
"NY","2015-06-30","2015","RGGI","5.811","88614.02","27.81","1444898.289",
"RI","2015-06-01","2015","RGGI","0.066","12931.326","1.828","217755.948",
"RI","2015-06-02","2015","RGGI","0.038","7492.233","1.439","126206.014",
"RI","2015-06-03","2015","RGGI","0.056","10831.663","1.904","182396.423",
"RI","2015-06-04","2015","RGGI","0.065","12486.981","2.157","210254.601",
"RI","2015-06-05","2015","RGGI","0.047","9525.054","1.817","160437.316",
"RI","2015-06-06","2015","RGGI","0.025","4878.558","1.372","82213.196",
"RI","2015-06-07","2015","RGGI","0.036","7263.474","2.172","122317.868",
"RI","2015-06-08","2015","RGGI","0.061","11873.463","1.998","199877.76",
"RI","2015-06-09","2015","RGGI","0.072","14166.805","2.121","238548.22",
"RI","2015-06-10","2015","RGGI","0.06","11900.426","1.969","200396.689",
"RI","2015-06-11","2015","RGGI","0.059","11607.972","1.862","195476.505",
"RI","2015-06-12","2015","RGGI","0.064","12758.295","2.152","214852.95",
"RI","2015-06-13","2015","RGGI","0.075","14782.947","2.163","248939.078",
"RI","2015-06-14","2015","RGGI","0.066","13171.71","2.357","221785.928",
"RI","2015-06-15","2015","RGGI","0.072","14355.084","2.407","241715.316",
"RI","2015-06-16","2015","RGGI","0.065","12746.243","2.017","214639.722",
"RI","2015-06-17","2015","RGGI","0.058","11556.103","2.037","194596.679",
"RI","2015-06-18","2015","RGGI","0.06","11872.893","2.123","199939.816",
"RI","2015-06-19","2015","RGGI","0.069","13677.548","2.157","230327.148",
"RI","2015-06-20","2015","RGGI","0.063","12368.929","1.902","208309.427",
"RI","2015-06-21","2015","RGGI","0.072","14546.434","1.922","244984.104",
"RI","2015-06-22","2015","RGGI","0.087","17028.29","2.318","286745.417",
"RI","2015-06-23","2015","RGGI","0.073","14678.424","1.962","247189.02",
"RI","2015-06-24","2015","RGGI","0.072","14209.094","1.994","239243.583",
"RI","2015-06-25","2015","RGGI","0.071","14245.351","2.209","239898.729",
"RI","2015-06-26","2015","RGGI","0.084","16720.067","2.575","281560.783",
"RI","2015-06-27","2015","RGGI","0.067","13199.585","2.049","222244.88",
